store	educ	income
2	.2489349	10.55321
5	.3212257	10.92237
8	.0951733	10.59701
9	.2221723	10.78715
12	.253413	9.996659
14	.348293	11.04393
18	.0722465	10.39198
21	.1775035	10.71619
28	.2331626	10.79853
32	.1982599	10.67447
33	.419688	10.34593
40	.0721286	10.55025
44	.3297384	10.86916
45	.2801502	10.74538
47	.1405987	10.63533
48	.3032604	10.75603
49	.31995	10.80675
50	.1287643	10.58931
51	.1719167	10.62084
52	.3729273	11.05102
53	.2703835	10.6
54	.4211257	10.9109
56	.2375507	10.83183
59	.2330361	10.71504
62	.5177603	11.2362
64	.1608213	10.60582
67	.2843947	10.79696
68	.1597215	10.18837
70	.1656696	10.41235
71	.1595881	10.40484
72	.2687246	10.71219
73	.073054	10.61497
74	.0711978	10.48002
75	.2195484	9.867083
76	.0877118	10.14061
77	.3768711	10.98312
78	.3144323	10.95918
80	.3044657	10.90951
81	.2342016	10.71994
83	.1459849	10.45608
84	.1880943	10.76562
86	.0967639	10.08897
88	.1516328	10.5498
89	.0533494	10.30812
90	.0501935	10.50466
91	.1443101	10.53845
92	.2701266	10.6578
93	.3630164	10.36719
94	.2293904	10.74452
95	.0856421	10.38347
97	.1781828	10.48375
98	.0517028	10.5736
100	.0495503	10.03658
101	.1747419	10.65994
102	.1206575	10.49385
103	.1946211	10.58525
104	.2496845	10.69885
105	.0942356	10.41439
106	.1579393	10.50685
107	.2730519	10.82713
109	.4769167	11.2332
110	.1675532	10.52086
111	.0969289	10.13828
112	.3298985	10.88266
113	.1515924	10.64766
114	.0944245	10.34795
115	.4063125	10.94748
116	.2592247	10.69711
117	.2490835	10.76096
118	.2247259	10.63236
119	.279952	10.75272
121	.3506129	10.94993
122	.2558891	10.77505
123	.1531915	10.3341
